,Весы электронные,,
,"Предусловия:
Мах вес 150 кг.
Количество взвешиваний неограниченно",,
,,,
№,Тесты,Тестовые данные,Ожидаемый результат
,Функциональные тесты,,
1,Проверка грузоподъёмности весов,оставить весы пустыми,Весы отображают вес
,,1 кг,
,,70 кг,
,,149 кг,
,,150 кг,
,,151 кг,Весы отображают ошибку
2,Проверка количества взвешивания,Взвеситься один раз,"Весы работают, отображают вес"
,,Взвеситься 100 раз,
,,Взвеситься 1000 раз,
,Нефункциональные тесты,,
3,Проверка включения весов,Надавить на весы ногой,Весы включились
4,Проверка выключения весов,Оставить весы в состоянии покоя,Весы выключились через 30 секунд
5,Проверка устойчивости к скольжению,"Поставить весы на кафельный пол,
встать на весы ","Весы стоят устойчиво, не скользят"
6,,"Поставить весы на линолеумное 
покрытие пола,
встать на весы ",
7,,"Поставить весы на ламинатное 
покрытие пола,
встать на весы ",
8,Проверка видимости показания весов,"Человек ростом 1,5 м",Показания чётко видны пользователю
9,,"Человек ростом 1,98",
10,Проверка устойчивости весов,Встать на весы обеими ногами,Весы устойчиво стоят на поверхности
11,,Встать на весы одной ногой,
12,Проверка шрифта ,Встать на весы,Шрифт не искажён
13,Проверка качества покраски весов,Осмотреть весы,"Весы окрашены равномерно, без разводов"
14,Проверка наличия всех надписей,"Название бренда, максимальный вес",Все надписи чётко и правильно изображены
15,"Проверка точности показаний 
на разных поверхностях","Поставить весы на линолеумное 
покрытие пола,
встать на весы ",Весы показывают точные данные о весе
16,,"Поставить весы на ковровое 
покрытие пола,
встать на весы ",Весы искажают данные о весе
17,Проверка локализации языковых данных,Встать на весы,Весы отображают данные на русском языке
18,Проверка локализации меры веса,Встать на весы,Весы отображают данные в килограммах
19,"Проверка локализации языковых 
данных в инструкции","Окрыть инструкцию, найти раздел 
на русском языке",Раздел на русском языке присутствует
20,Проверка смены батарейки,"Открыть батареечный отсек, 
вытащить/поставить батарейку",Батарейка заменена
21,Проверка безопасности использования,Осмотреть весы,"Края весов скруглены, поверхность матовая"
22,Проверка весов на прочность,"Уронить весы с высоты 0,3 м",Весы продолжают работу
23,,Уронить весы с высоты 2 м,Весы разбились
24,,Прыгнуть на весы,Весы продолжают работу
25,"Проверка совместимости с приложением 
по Bluetooth","Установить приложение для весов на телефон, 
включить Bluetooth","Весы сопряглись с устройством, 
программа подключилась к весам"
26,"Проверка точности передачи данных весами 
в приложению на телефоне","Встать на весы, открыть приложение",Произошла точная передача данных 
27,Проверка хранения истории взвешивания,"Включить весы, просмотреть историю",Весы показали историю последних 10 взвешиваний
28,,Открыть приложение весов на телефоне,Приложение показало всю историю взвешиваний
29,"Проверка возможности подключения 
нескольких аккаунтов к весам","Установить приложение для весов на второй телефон, 
включить Bluetooth","Весы сопряглись с устройством, 
программа подключилась к весам"