Use case,,авторизоваться на сайте
Цель,,авторизоваться на сайте leroymerlin.ru
Где/кем используется,,сайт leroymerlin.ru
Предусловие,,есть сайт и устройство для доступа к сайту
,,есть интернет
,,пользователь зарегистрирован
,,
,,
,,
Успешный сценарий,,пользователь вошёл в систему
,,
Неуспешный сценарий,,пользователь не смог войти в свою учётную запись
,,
,,
Актор,,зарегистрированный пользователь - покупатель
Триггер,,получить доступ к функционалу сайта
,,
Описание,1,пользователь выбирает раздел авторизации
,2,система открывает страницу с формой для авторизации
,3,пользователь вводит email и пароль
,3,система собщает о подтверждении успешной авторизации
,,
Исключения,2е1,пользователь бездействует
,2е2,завершение сценария
,,
,1а,пользователь некорректно ввёл данные
,1а1,система отображает сообщение об ошибке при вводе данных
,1а2,переход к шагу 1 основного сценария